Id;Answers;Questions;ZScore;InDegree;OutDegree;ZDegree;ExertiseRank
4196;1107;186;25,6129951790446;268;41;12,9135788145406;49,659197716218
177541;0;1;-1;0;1;-1;0,2775
18445;12;76;-6,82242292337953;2;16;-3,29983164553722;1,2194232097553
18970;46;19;3,34893783390863;12;9;0,654653670707977;3,40100755180071
14500;0;4;-2;0;1;-1;0,2775
216319;0;10;-3,16227766016838;0;5;-2,23606797749979;0,2775
54181;0;1;-1;0;1;-1;0,2775
303360;0;1;-1;0;2;-1,41421356237309;0,2775
150781;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
373643;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
394973;0;4;-2;0;3;-1,73205080756888;0,2775
22509;0;1;-1;0;1;-1;0,2775
421859;0;5;-2,23606797749979;0;3;-1,73205080756888;0,2775
227097;168;86;5,1451376021329;33;15;2,59807621135332;5,35999539095597
446636;0;7;-2,64575131106459;0;5;-2,23606797749979;0,2775
521856;0;2;-1,41421356237309;0;1;-1;0,2775
463252;85;36;4,45454545454545;39;6;4,91934955049954;5,77189367357041
1203;0;1;-1;0;1;-1;0,2775
197589;0;8;-2,82842712474619;0;2;-1,41421356237309;0,2775
372989;0;1;-1;0;1;-1;0,2775
737298;0;3;-1,73205080756888;0;1;-1;0,2775
86978;285;157;6,08833912517752;95;18;7,2435506865537;16,0947268420332
185075;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
322716;0;1;-1;0;0;NaN;0,2775
894144;0;1;-1;0;1;-1;0,2775
644312;0;2;-1,41421356237309;0;1;-1;0,2775
910351;1;3;-1;1;2;-0,577350269189626;0,535673111331046
958887;1;1;0;1;1;0;1,1525919597553
736156;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
975494;0;1;-1;0;1;-1;0,2775
86275;2;3;-0,447213595499958;1;3;-1;1,1525919597553
1023749;0;1;-1;0;1;-1;0,2775
250263;0;2;-1,41421356237309;0;1;-1;0,2775
348591;1;4;-1,34164078649987;1;3;-1;0,31759875
81476;0;1;-1;0;3;-1,73205080756888;0,2775
108840;0;1;-1;0;0;NaN;0,2775
1115020;1;1;0;1;1;0;0,332564579315513
7129;0;1;-1;0;0;NaN;0,2775
847626;0;1;-1;0;2;-1,41421356237309;0,2775
111939;0;3;-1,73205080756888;0;1;-1;0,2775
908596;0;3;-1,73205080756888;0;2;-1,41421356237309;0,2775
538601;0;1;-1;0;1;-1;0,2775
325899;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
949275;3;11;-2,1380899352994;2;4;-0,816496580927726;1,2194232097553
507671;0;1;-1;0;2;-1,41421356237309;0,2775
1266331;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1241175;0;2;-1,41421356237309;0;1;-1;0,2775
777651;2;3;-0,447213595499958;2;1;0,577350269189626;1,2194232097553
901647;0;1;-1;0;1;-1;0,2775
932850;0;9;-3;0;6;-2,44948974278318;0,2775
163582;0;4;-2;0;3;-1,73205080756888;0,2775
998541;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
764080;0;1;-1;0;1;-1;0,2775
85014;0;1;-1;0;2;-1,41421356237309;0,2775
330036;6;4;0,632455532033676;3;3;0;1,0120046567249
1421760;0;1;-1;0;1;-1;0,2775
1422023;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
460862;0;1;-1;0;1;-1;0,2775
1441243;0;1;-1;0;0;NaN;0,2775
562061;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
424139;3;2;0,447213595499958;2;3;-0,447213595499958;1,19654978087339
1490131;0;1;-1;0;2;-1,41421356237309;0,2775
510776;0;1;-1;0;4;-2;0,2775
284491;0;1;-1;0;2;-1,41421356237309;0,2775
1379175;0;1;-1;0;2;-1,41421356237309;0,2775
1529504;0;1;-1;0;2;-1,41421356237309;0,2775
372456;0;1;-1;0;3;-1,73205080756888;0,2775
1387563;0;1;-1;0;1;-1;0,2775
1530030;1;2;-0,577350269189626;1;1;0;1,1525919597553
129072;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
911841;1;5;-1,63299316185545;1;3;-1;0,377746875
849616;0;1;-1;0;1;-1;0,2775
488603;0;2;-1,41421356237309;0;5;-2,23606797749979;0,2775
1606436;0;1;-1;0;3;-1,73205080756888;0,2775
1608945;0;1;-1;0;2;-1,41421356237309;0,2775
1292401;0;1;-1;0;2;-1,41421356237309;0,2775
7827;0;1;-1;0;2;-1,41421356237309;0,2775
78918;2;2;0;2;4;-0,816496580927726;1,27511814048672
1650314;0;2;-1,41421356237309;0;1;-1;0,2775
521337;0;2;-1,41421356237309;0;1;-1;0,2775
1662409;0;1;-1;0;1;-1;0,2775
1662852;0;5;-2,23606797749979;0;1;-1;0,2775
841437;1;3;-1;1;2;-0,577350269189626;0,535673111331046
1242554;0;1;-1;0;1;-1;0,2775
1682825;0;1;-1;0;0;NaN;0,2775
88556;2;1;0,577350269189626;2;3;-0,447213595499958;1,79861641216469
999962;0;1;-1;0;3;-1,73205080756888;0,2775
806435;2;4;-0,816496580927726;2;8;-1,89736659610103;1,35669123833905
321235;1;4;-1,34164078649987;1;2;-0,577350269189626;1,1525919597553
506275;0;2;-1,41421356237309;0;1;-1;0,2775
513923;0;1;-1;0;3;-1,73205080756888;0,2775
1159142;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
524923;0;1;-1;0;1;-1;0,2775
464871;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1769186;0;1;-1;0;1;-1;0,2775
1747945;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1775316;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
1796295;0;1;-1;0;1;-1;0,2775
277168;0;1;-1;0;1;-1;0,2775
100251;0;1;-1;0;1;-1;0,2775
933680;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
888980;0;1;-1;0;1;-1;0,2775
491953;0;1;-1;0;2;-1,41421356237309;0,2775
628977;0;1;-1;0;1;-1;0,2775
1837585;0;1;-1;0;1;-1;0,2775
13787;0;1;-1;0;2;-1,41421356237309;0,2775
1888794;0;1;-1;0;2;-1,41421356237309;0,2775
1888623;0;1;-1;0;1;-1;0,2775
25964;2;1;0,577350269189626;1;0;1;0,34433125
115336;0;1;-1;0;1;-1;0,2775
1763278;0;3;-1,73205080756888;0;4;-2;0,2775
565492;0;1;-1;0;2;-1,41421356237309;0,2775
1146990;1;1;0;1;1;0;0,550525328464001
379357;1;6;-1,88982236504614;1;3;-1;0,332564579315513
456205;0;1;-1;0;2;-1,41421356237309;0,2775
415981;0;1;-1;0;2;-1,41421356237309;0,2775
1363467;0;3;-1,73205080756888;0;3;-1,73205080756888;0,2775
1465806;0;1;-1;0;0;NaN;0,2775
1872825;0;2;-1,41421356237309;0;1;-1;0,2775
45133;0;1;-1;0;3;-1,73205080756888;0,2775
222586;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
2135886;0;1;-1;0;1;-1;0,2775
393576;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
167164;2;7;-1,66666666666667;2;7;-1,66666666666667;0,432811454315513
253192;0;1;-1;0;1;-1;0,2775
1153434;0;1;-1;0;0;NaN;0,2775
2223593;0;1;-1;0;1;-1;0,2775
1090101;0;3;-1,73205080756888;0;1;-1;0,2775
123968;0;10;-3,16227766016838;0;3;-1,73205080756888;0,2775
67058;0;1;-1;0;1;-1;0,2775
2385506;0;3;-1,73205080756888;0;2;-1,41421356237309;0,2775
2389377;0;2;-1,41421356237309;0;1;-1;0,2775
2410222;0;1;-1;0;2;-1,41421356237309;0,2775
1267747;0;1;-1;0;1;-1;0,2775
890156;0;6;-2,44948974278318;0;4;-2;0,2775
205275;0;6;-2,44948974278318;0;3;-1,73205080756888;0,2775
585791;0;2;-1,41421356237309;0;1;-1;0,2775
2547204;0;1;-1;0;1;-1;0,2775
1689944;0;1;-1;0;1;-1;0,2775
1442021;0;1;-1;0;1;-1;0,2775
1068987;0;1;-1;0;1;-1;0,2775
402025;0;2;-1,41421356237309;0;1;-1;0,2775
2757484;0;1;-1;0;1;-1;0,2775
2817747;0;1;-1;0;1;-1;0,2775
177979;0;1;-1;0;1;-1;0,2775
38066;0;1;-1;0;2;-1,41421356237309;0,2775
1091843;0;1;-1;0;3;-1,73205080756888;0,2775
557951;1;1;0;1;1;0;1,1525919597553
979369;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1834695;0;2;-1,41421356237309;0;1;-1;0,2775
933256;0;1;-1;0;1;-1;0,2775
1956468;0;1;-1;0;0;NaN;0,2775
702394;0;4;-2;0;1;-1;0,2775
722231;0;3;-1,73205080756888;0;1;-1;0,2775
1406263;2;5;-1,13389341902768;1;2;-0,577350269189626;0,923524452409389
1909707;0;1;-1;0;3;-1,73205080756888;0,2775
2257540;0;1;-1;0;1;-1;0,2775
140350;2;2;0;2;4;-0,816496580927726;0,683189546616165
3323947;7;1;2,12132034355964;1;1;0;0,34433125
878107;0;1;-1;0;1;-1;0,2775
1266815;0;1;-1;0;1;-1;0,2775
3444067;0;1;-1;0;1;-1;0,2775
223185;0;1;-1;0;1;-1;0,2775
571752;0;3;-1,73205080756888;0;1;-1;0,2775
1733683;0;1;-1;0;1;-1;0,2775
3665350;0;1;-1;0;0;NaN;0,2775
1932;0;1;-1;0;1;-1;0,2775
1880318;0;1;-1;0;0;NaN;0,2775
3761302;0;1;-1;0;1;-1;0,2775
1818581;0;1;-1;0;1;-1;0,2775
187033;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
1007591;0;1;-1;0;1;-1;0,2775
328624;0;2;-1,41421356237309;0;1;-1;0,2775
1537140;0;2;-1,41421356237309;0;1;-1;0,2775
360279;0;1;-1;0;2;-1,41421356237309;0,2775
3956910;0;1;-1;0;2;-1,41421356237309;0,2775
3464669;0;1;-1;0;0;NaN;0,2775
1598473;0;1;-1;0;3;-1,73205080756888;0,2775
238047;0;1;-1;0;1;-1;0,2775
3376382;0;1;-1;0;2;-1,41421356237309;0,2775
828195;0;1;-1;0;2;-1,41421356237309;0,2775
2557767;20;4;3,2659863237109;3;4;-0,377964473009227;1,13603205838331
104748;0;1;-1;0;3;-1,73205080756888;0,2775
2002771;0;2;-1,41421356237309;0;1;-1;0,2775
4441865;0;1;-1;0;1;-1;0,2775
4449995;0;1;-1;0;1;-1;0,2775
1120448;0;1;-1;0;1;-1;0,2775
30309;0;1;-1;0;1;-1;0,2775
1726483;0;1;-1;0;3;-1,73205080756888;0,2775
4513747;0;1;-1;0;1;-1;0,2775
1006144;1;2;-0,577350269189626;1;1;0;0,400026177462496
2592761;0;1;-1;0;1;-1;0,2775
804405;0;1;-1;0;1;-1;0,2775
1741643;17;21;-0,64888568452305;7;2;1,66666666666667;1,4798234067249
514696;0;1;-1;0;1;-1;0,2775
1296108;0;1;-1;0;1;-1;0,2775
39680;0;1;-1;0;1;-1;0,2775
5058965;0;2;-1,41421356237309;0;1;-1;0,2775
23257;0;3;-1,73205080756888;0;1;-1;0,2775
5131281;3;1;1;2;1;0,577350269189626;1,07578265104893
1345526;1;1;0;1;0;1;0,923524452409389
141005;0;1;-1;0;1;-1;0,2775
4466543;0;2;-1,41421356237309;0;1;-1;0,2775
1192371;0;1;-1;0;1;-1;0,2775
4490535;1;1;0;1;1;0;0,535673111331046
3650;0;1;-1;0;3;-1,73205080756888;0,2775
5180786;0;1;-1;0;1;-1;0,2775
5622221;0;1;-1;0;2;-1,41421356237309;0,2775
5766900;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
1840074;0;3;-1,73205080756888;0;1;-1;0,2775
2328656;0;1;-1;0;2;-1,41421356237309;0,2775
5950242;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
2790723;0;1;-1;0;1;-1;0,2775
831109;0;1;-1;0;2;-1,41421356237309;0,2775
5382593;0;1;-1;0;1;-1;0,2775
178755;0;2;-1,41421356237309;0;1;-1;0,2775
2318953;0;2;-1,41421356237309;0;1;-1;0,2775
1150955;0;1;-1;0;1;-1;0,2775
6173497;0;1;-1;0;1;-1;0,2775
1193302;0;1;-1;0;1;-1;0,2775
1282581;0;2;-1,41421356237309;0;1;-1;0,2775
1825120;0;2;-1,41421356237309;0;1;-1;0,2775
1222726;0;1;-1;0;1;-1;0,2775
1479597;0;1;-1;0;1;-1;0,2775
1372890;0;3;-1,73205080756888;0;2;-1,41421356237309;0,2775
2590865;0;1;-1;0;1;-1;0,2775
500140;0;1;-1;0;0;NaN;0,2775
6027299;0;1;-1;0;1;-1;0,2775
3592346;3;3;0;2;1;0,577350269189626;0,4111625
157832;0;1;-1;0;2;-1,41421356237309;0,2775
4941031;0;5;-2,23606797749979;0;1;-1;0,2775
398411;0;1;-1;0;1;-1;0,2775
1976582;0;1;-1;0;1;-1;0,2775
50784;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1847158;0;1;-1;0;1;-1;0,2775
5498966;0;2;-1,41421356237309;0;3;-1,73205080756888;0,2775
1149353;0;1;-1;0;1;-1;0,2775
416374;0;1;-1;0;1;-1;0,2775
723099;0;1;-1;0;2;-1,41421356237309;0,2775
459632;0;1;-1;0;2;-1,41421356237309;0,2775
3008025;0;1;-1;0;1;-1;0,2775
599454;0;1;-1;0;3;-1,73205080756888;0,2775
2288213;0;1;-1;0;1;-1;0,2775
1140359;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
2107580;0;1;-1;0;1;-1;0,2775
3227753;0;3;-1,73205080756888;0;6;-2,44948974278318;0,2775
10200;0;1;-1;0;1;-1;0,2775
4465050;5;5;0;4;2;0,816496580927726;1,93227891216469
7384126;0;2;-1,41421356237309;0;1;-1;0,2775
6078409;0;1;-1;0;2;-1,41421356237309;0,2775
79913;0;1;-1;0;1;-1;0,2775
2227806;0;1;-1;0;1;-1;0,2775
7672485;0;1;-1;0;1;-1;0,2775
1029847;0;1;-1;0;1;-1;0,2775
6433981;0;1;-1;0;2;-1,41421356237309;0,2775
8241361;0;2;-1,41421356237309;0;1;-1;0,2775
8388961;0;1;-1;0;1;-1;0,2775
1018252;0;1;-1;0;1;-1;0,2775
7937389;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
1542066;0;1;-1;0;1;-1;0,2775
826296;0;1;-1;0;1;-1;0,2775
1666657;0;1;-1;0;1;-1;0,2775
411740;2;1;0,577350269189626;2;1;0,577350269189626;1,79861641216469
3583910;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
650866;0;1;-1;0;2;-1,41421356237309;0,2775
7991750;0;1;-1;0;1;-1;0,2775
1426041;0;1;-1;0;1;-1;0,2775
213894;1;1;0;1;1;0;0,34433125
3788377;0;1;-1;0;1;-1;0,2775
631218;1;3;-1;1;1;0;0,429827163720497
1291741;0;2;-1,41421356237309;0;0;NaN;0,2775
4413228;0;2;-1,41421356237309;0;1;-1;0,2775
8077160;0;1;-1;0;1;-1;0,2775
5940636;0;1;-1;0;1;-1;0,2775
715090;0;1;-1;0;1;-1;0,2775
9856381;0;1;-1;0;2;-1,41421356237309;0,2775
77855;0;1;-1;0;1;-1;0,2775
2601674;0;2;-1,41421356237309;0;1;-1;0,2775
3781869;0;1;-1;0;1;-1;0,2775
9638446;0;1;-1;0;2;-1,41421356237309;0,2775
1721963;0;1;-1;0;1;-1;0,2775
3807850;2;2;0;2;3;-0,447213595499958;0,632500322227008
660288;0;1;-1;0;0;NaN;0,2775
3317138;0;1;-1;0;2;-1,41421356237309;0,2775
611112;0;1;-1;0;0;NaN;0,2775
93231;0;1;-1;0;1;-1;0,2775
70196;0;1;-1;0;1;-1;0,2775
6182461;0;1;-1;0;1;-1;0,2775
1365576;0;1;-1;0;1;-1;0,2775
3522552;0;1;-1;0;1;-1;0,2775
1260667;1;1;0;1;2;-0,577350269189626;0,310915625
10103420;0;1;-1;0;1;-1;0,2775
1071322;0;1;-1;0;1;-1;0,2775
5746456;0;1;-1;0;0;NaN;0,2775
836040;0;1;-1;0;1;-1;0,2775
4700332;0;1;-1;0;1;-1;0,2775
2498638;0;1;-1;0;1;-1;0,2775
4742514;0;1;-1;0;1;-1;0,2775
2324700;0;1;-1;0;1;-1;0,2775
2544688;0;1;-1;0;1;-1;0,2775
953200;0;1;-1;0;1;-1;0,2775
740564;0;1;-1;0;0;NaN;0,2775
3292149;0;1;-1;0;2;-1,41421356237309;0,2775
646346;0;1;-1;0;1;-1;0,2775
8446323;0;1;-1;0;2;-1,41421356237309;0,2775
2305708;0;1;-1;0;1;-1;0,2775
2774211;0;1;-1;0;0;NaN;0,2775
10538357;0;1;-1;0;1;-1;0,2775
1317927;1;1;0;1;1;0;1,1525919597553
509878;4;3;0,377964473009227;1;1;0;0,377746875
4317308;0;1;-1;0;1;-1;0,2775
582444;1;1;0;1;0;1;1,11024769092321
780449;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
5464185;0;2;-1,41421356237309;0;2;-1,41421356237309;0,2775
731527;0;1;-1;0;1;-1;0,2775
10176335;0;1;-1;0;0;NaN;0,2775
9009228;0;1;-1;0;1;-1;0,2775
118235;0;2;-1,41421356237309;0;1;-1;0,2775
1774207;0;1;-1;0;1;-1;0,2775
53972;0;1;-1;0;1;-1;0,2775
12107040;0;1;-1;0;1;-1;0,2775
9858547;0;1;-1;0;1;-1;0,2775
1227833;0;1;-1;0;1;-1;0,2775
3980;0;1;-1;0;1;-1;0,2775
1330626;0;1;-1;0;1;-1;0,2775
12306963;1;1;0;1;1;0;0,34433125
2998956;0;1;-1;0;2;-1,41421356237309;0,2775
856785;0;1;-1;0;1;-1;0,2775
1139464;0;1;-1;0;1;-1;0,2775
5630997;0;1;-1;0;1;-1;0,2775
5372770;0;1;-1;0;1;-1;0,2775
3721007;0;1;-1;0;0;NaN;0,2775
291575;0;2;-1,41421356237309;0;1;-1;0,2775
1602504;0;1;-1;0;1;-1;0,2775
229502;0;3;-1,73205080756888;0;1;-1;0,2775
8529410;0;1;-1;0;0;NaN;0,2775
6893840;0;1;-1;0;1;-1;0,2775
8357974;0;1;-1;0;1;-1;0,2775
8326410;0;1;-1;0;1;-1;0,2775
3872815;0;1;-1;0;0;NaN;0,2775
6612411;0;1;-1;0;1;-1;0,2775
8924216;0;2;-1,41421356237309;0;1;-1;0,2775
11479770;0;1;-1;0;0;NaN;0,2775
5327505;0;1;-1;0;0;NaN;0,2775
7278929;0;1;-1;0;0;NaN;0,2775
2175487;0;2;-1,41421356237309;0;0;NaN;0,2775
4586120;1;0;1;1;0;1;1,1525919597553
437233;1;0;1;1;0;1;1,1525919597553
682795;1;0;1;1;0;1;1,1525919597553
112610;1;0;1;1;0;1;1,1525919597553
1786188;1;0;1;1;0;1;1,1525919597553
165816;1;0;1;1;0;1;1,1525919597553
379847;1;0;1;1;0;1;1,1525919597553
73663;3;0;1,73205080756888;2;0;1,41421356237309;1,2194232097553
417363;1;0;1;1;0;1;1,1525919597553
130809;2;0;1,41421356237309;2;0;1,41421356237309;1,2751181372178
58398;1;0;1;1;0;1;1,1525919597553
149211;1;0;1;1;0;1;1,1525919597553
137024;1;0;1;1;0;1;1,1525919597553
1855080;1;0;1;1;0;1;1,1525919597553
2743628;1;0;1;1;0;1;1,1525919597553
327935;1;0;1;1;0;1;1,1525919597553
35070;1;0;1;1;0;1;0,332564579315513
458361;1;0;1;1;0;1;0,332564579315513
393256;2;0;1,41421356237309;1;0;1;0,332564579315513
209031;1;0;1;1;0;1;0,332564579315513
613671;1;0;1;1;0;1;1,1525919597553
81310;1;0;1;1;0;1;1,1525919597553
54434;1;0;1;1;0;1;1,1525919597553
600374;1;0;1;1;0;1;1,1525919597553
78048;2;0;1,41421356237309;2;0;1,41421356237309;1,79861641216469
4540215;1;0;1;1;0;1;1,1525919597553
201835;1;0;1;1;0;1;1,1525919597553
3058558;1;0;1;1;0;1;0,31759875
266740;1;0;1;1;0;1;0,31759875
280317;1;0;1;1;0;1;1,1525919597553
708325;1;0;1;1;0;1;0,535673111331046
1813400;1;0;1;1;0;1;0,535673111331046
2185517;1;0;1;1;0;1;0,535673111331046
4927369;1;0;1;1;0;1;0,535673111331046
1439962;1;0;1;1;0;1;0,535673111331046
468070;1;0;1;1;0;1;0,535673111331046
960829;1;0;1;1;0;1;0,31759875
207329;1;0;1;1;0;1;0,34433125
207880;2;0;1,41421356237309;1;0;1;0,34433125
272442;1;0;1;1;0;1;0,550525328464001
1434576;1;0;1;1;0;1;0,3276234375
39156;1;0;1;1;0;1;0,377746875
3246373;1;0;1;1;0;1;0,34433125
1401053;1;0;1;1;0;1;0,34433125
274736;1;0;1;1;0;1;0,377746875
1841518;1;0;1;1;0;1;0,923524452409389
429368;1;0;1;1;0;1;0,535673111331046
3931960;1;0;1;1;0;1;0,332564579315513
125001;1;0;1;1;0;1;0,332564579315513
3031952;1;0;1;1;0;1;0,377746875
562380;1;0;1;1;0;1;0,357592636185153
1019198;1;0;1;1;0;1;0,322172325106137
9048995;1;0;1;1;0;1;0,322172325106137
5202481;1;0;1;1;0;1;0,923524452409389
3732054;1;0;1;1;0;1;0,34433125
327708;1;0;1;1;0;1;0,377746875
484282;1;0;1;1;0;1;0,97253219652577
1509626;2;0;1,41421356237309;2;0;1,41421356237309;0,377746875
7386756;1;0;1;1;0;1;0,3276234375
2822757;1;0;1;1;0;1;0,34433125
146335;1;0;1;1;0;1;0,97253219652577
2855408;1;0;1;1;0;1;0,322172325106137
57457;1;0;1;1;0;1;0,400026177462496
1659085;3;0;1,73205080756888;1;0;1;0,507818214125414
472045;2;0;1,41421356237309;2;0;1,41421356237309;1,02377132740939
2957716;1;0;1;1;0;1;0,923524452409389
3448877;1;0;1;1;0;1;0,34433125
413384;1;0;1;1;0;1;0,535673111331046
1494842;1;0;1;1;0;1;0,34433125
3003461;1;0;1;1;0;1;0,377746875
2698296;1;0;1;1;0;1;0,497758317262052
871533;1;0;1;1;0;1;0,34433125
3259333;1;0;1;1;0;1;0,550525328464001
2246807;1;0;1;1;0;1;0,550525328464001
1160090;1;0;1;1;0;1;0,34433125
3991279;1;0;1;1;0;1;0,34433125
2766399;1;0;1;1;0;1;0,34433125
607974;1;0;1;1;0;1;0,3276234375
2370091;1;0;1;1;0;1;0,34433125
3012597;1;0;1;1;0;1;0,34433125
241185;1;0;1;1;0;1;0,377746875
939480;1;0;1;1;0;1;0,310915625
10781688;1;0;1;1;0;1;0,34433125
295428;1;0;1;1;0;1;0,310915625
7840510;2;0;1,41421356237309;1;0;1;0,310915625
3333348;6;0;2,44948974278318;6;0;2,44948974278318;1,41819202163191
7588956;1;0;1;1;0;1;0,377746875
4001874;1;0;1;1;0;1;0,377746875
5631503;1;0;1;1;0;1;0,38981826953125
5042744;1;0;1;1;0;1;0,377746875
7601097;1;0;1;1;0;1;0,377746875
6773454;1;0;1;1;0;1;0,377746875
